P-code,Age,Language,Gender,Education,Cog_emp,Aff_emp,SG_size,SC_size,AQ,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12,S13,S14,S15,S16,S17,S18,S19,S20,ACQ1,SG_rel,SC_rel,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,P13,P14,P15,P16,P17,P18,P19,P20,ACQ2,E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,E11,E12,E13,E14,E15,E16,E17,E18,E19,E20,E21,E22,E23,E24,E25,E26,E27,E28,E29,E30,E31,ACQ3,AQ1,AQ2,AQ3,AQ4,AQ5,AQ6,AQ7,AQ8,AQ9,AQ10,AQ11,AQ12,AQ13,AQ14,AQ15,AQ16,AQ17,AQ18,AQ19,AQ20,AQ21,AQ22,AQ23,AQ24,AQ25,AQ26,AQ27,AQ28,AQ29,AQ30,AQ31,AQ32,AQ33,AQ34,AQ35,AQ36,AQ37,AQ38,AQ39,AQ40,AQ41,AQ42,AQ43,AQ44,AQ45,AQ46,AQ47,AQ48,AQ49,AQ50,ACQ_tot,scenes_1,scenes_2,scenes_3,scenes_4,scenes_5,scenes_6,scenes_7,scenes_8,scenes_9,scenes_10,scenes_11,scenes_12,scenes_13,scenes_14,scenes_15,scenes_16,scenes_17,scenes_18,scenes_19,scenes_20,Scenes_Mean,presents_1,presents_2,presents_3,presents_4,presents_5,presents_6,presents_7,presents_8,presents_9,presents_10,presents_11,presents_12,presents_13,presents_14,presents_15,presents_16,presents_17,presents_18,presents_19,presents_20,Presents_Mean
1,32,Yes,Female,Bachelor's degree,59,28,19,9,13,Heâ€™s thinking of asking her on a date.,Heâ€™s thinking about this morningâ€™s news.,Heâ€™s surprised to bump into his old friend.,Sheâ€™s excited theyâ€™re engaged.,Heâ€™s bored and thinking of how to shorten the meeting,He thinks sheâ€™s trying too hard and is amused.,She hates her friendâ€™s outfit.,Sheâ€™s missed her friend and happy to have her back.,Sheâ€™s thinking about the busy day she had.,Sheâ€™s wondering who she should approach and talk to.,Heâ€™s thinking the woman is being ridiculous.,Sheâ€™s thinking she loves the woods in spring.,He wants to take a break.,Sheâ€™s imagining being somewhere else.,Sheâ€™s upset by his unexpected news.,Sheâ€™s thinking she wants this book.,Sheâ€™s happy to be reunited with her school friends.,Sheâ€™s thinking she doesnâ€™t care about their relationship anymore.,Heâ€™s thinking of ways to convince her that her decision is wrong.,Sheâ€™s upset their deal didnâ€™t go through.,1,Friend,Romantic partner,Board game,Perfume,External hard drive,Coffee pot,Laptop,Hair straighteners,Scarf and hat set,Spa trip,Camping tent,iPad,Foot massager,Darts set,Go-karting experience,Golf clubs,Bottle of whiskey,Candle holders,Photo frame set,Ring,Cooking lesson,TV boxset,1,3,2,3,3,3,3,2,2,3,3,2,2,2,2,4,3,2,3,3,3,4,4,4,4,3,3,3,3,2,2,2,1,1,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,3,0.8580645161290322,0.2129032258064516,0.12903225806451613,0.11612903225806452,0.6451612903225806,0.0967741935483871,0.1935483870967742,0.632258064516129,0.43870967741935485,0.7354838709677419,0.36129032258064514,0.36129032258064514,0.07096774193548387,0.33548387096774196,0.14838709677419354,0.4064516129032258,0.6645161290322581,0.3419354838709677,0.47096774193548385,0.5548387096774193,0.3887096774193548,0.18064516129032257,0.5935483870967742,0.43870967741935485,0.22580645161290322,0.5032258064516129,0.24516129032258063,0.4129032258064516,0.3419354838709677,0.3096774193548387,0.2903225806451613,0.2903225806451613,0.34838709677419355,0.4838709677419355,0.38064516129032255,0.3161290322580645,0.21935483870967742,0.4774193548387097,0.45161290322580644,0.10967741935483871,0.13548387096774195,0.337741935483871
2,45,Yes,Male,High school degree or equivalent (e.g. GED),68,32,11,2,11,Heâ€™s thinking of asking her on a date.,He wants more coffee.,He thinks his friendâ€™s joke is very funny.,She hopes there is a second date.,Heâ€™s bored and thinking of how to shorten the meeting,Heâ€™s thinking of ways to win her affection.,She loves gossiping with her colleague.,Sheâ€™s missed her friend and happy to have her back.,Sheâ€™s thinking about the busy day she had.,Sheâ€™s wondering who she should approach and talk to.,Heâ€™s wondering if sheâ€™s also enjoying the dinner.,Sheâ€™s thinking he seems better today.,He wants to take a break.,Sheâ€™s happy to be invited to this fancy dinner.,She suspects heâ€™s not telling her everything.,She wants to tidy this messy office.,Sheâ€™s interested in what these strangers are talking about.,Sheâ€™s thinking sheâ€™s tired of the same excuses heâ€™s giving.,Heâ€™s thinking of ways to convince her that her decision is wrong.,She doesnâ€™t want to go back to the office now.,1,Friend,Friend,Beer glass,Year-long Netflix subscription,External hard drive,Scented candle,Laptop,Necklace,Scarf and hat set,Spa trip,Remote-controlled helicopter,Concert tickets,Foot massager,Cologne,Go-karting experience,Weekend in Ireland,VR headset,Sweater,Houseplant,Sunglasses,Amazon Kindle,Headphones,1,3,2,4,4,4,4,3,2,3,3,3,2,2,2,4,4,4,4,3,3,3,4,3,4,3,3,3,4,3,4,3,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,3,0.8580645161290322,0.3741935483870968,0.6516129032258065,0.6838709677419355,0.6451612903225806,0.8516129032258064,0.432258064516129,0.632258064516129,0.43870967741935485,0.7354838709677419,0.4,0.432258064516129,0.07096774193548387,0.3548387096774194,0.5870967741935483,0.34838709677419355,0.2064516129032258,0.45806451612903226,0.47096774193548385,0.25161290322580643,0.49419354838709684,0.4645161290322581,0.2064516129032258,0.43870967741935485,0.5225806451612903,0.5032258064516129,0.2709677419354839,0.4129032258064516,0.3419354838709677,0.2064516129032258,0.36129032258064514,0.2903225806451613,0.18064516129032257,0.4838709677419355,0.3741935483870968,0.5096774193548387,0.3096774193548387,0.17419354838709677,0.43870967741935485,0.41935483870967744,0.38064516129032255,0.364516129032258
3,36,Yes,Male,Bachelor's degree,55,32,2,1,19,Heâ€™s thinking of asking her on a date.,He wants more coffee.,He thinks his friendâ€™s joke is very funny.,She hopes there is a second date.,Heâ€™s worried heâ€™ll forget his lines.,Heâ€™s thinking of ways to win her affection.,She loves gossiping with her colleague.,Sheâ€™s missed her friend and happy to have her back.,Sheâ€™s dreaming of a better life far away with her friend.,Sheâ€™s wondering who she should approach and talk to.,Heâ€™s wondering if sheâ€™s also enjoying the dinner.,Sheâ€™s thinking she loves the woods in spring.,He misses his younger days.,Sheâ€™s happy to be invited to this fancy dinner.,She suspects heâ€™s not telling her everything.,Sheâ€™s thinking she wants this book.,Sheâ€™s happy to be reunited with her school friends.,Sheâ€™s thinking she cannot sympathize with his concerns.,Heâ€™s thinking of ways to convince her that her decision is wrong.,She doesnâ€™t want to go back to the office now.,1,Sibling,Friend,Beer glass,Year-long Netflix subscription,Skateboard,Bath robe,Games console,Digital camera,Box of chocolates,Designer handbag,Remote-controlled helicopter,Gift card to the movies,Professional photo shoot,Darts set,Go-karting experience,Pocket watch,Bottle of whiskey,Bread maker,Telescope,Sunglasses,Cooking lesson,Tennis shoes,1,2,2,3,4,2,2,3,4,3,3,2,1,2,4,3,3,3,2,3,4,3,4,2,3,3,3,3,4,3,2,2,1,0,0,1,0,0,0,0,0,0,0,1,0,1,1,1,0,1,0,0,0,0,1,0,1,1,0,0,0,0,1,0,1,0,1,0,0,1,1,0,0,0,0,1,1,0,1,1,1,0,0,3,0.8580645161290322,0.3741935483870968,0.6516129032258065,0.6838709677419355,0.2129032258064516,0.8516129032258064,0.432258064516129,0.632258064516129,0.21935483870967742,0.7354838709677419,0.4,0.36129032258064514,0.7419354838709677,0.3548387096774194,0.5870967741935483,0.4064516129032258,0.6645161290322581,0.16129032258064516,0.47096774193548385,0.25161290322580643,0.5025806451612904,0.4645161290322581,0.2064516129032258,0.4129032258064516,0.1032258064516129,0.2645161290322581,0.38064516129032255,0.36774193548387096,0.4064516129032258,0.2064516129032258,0.04516129032258064,0.47096774193548385,0.34838709677419355,0.4838709677419355,0.09032258064516129,0.3161290322580645,0.2903225806451613,0.18064516129032257,0.43870967741935485,0.10967741935483871,0.2709677419354839,0.29290322580645156
4,36,Yes,Male,High school degree or equivalent (e.g. GED),50,26,3,1,35,He wants to help his friend with her exam.,He wants more coffee.,Heâ€™s surprised to bump into his old friend.,She hopes there is a second date.,Heâ€™s bored and thinking of how to shorten the meeting,Heâ€™s thinking of ways to win her affection.,She hates her friendâ€™s outfit.,Sheâ€™s missed her friend and happy to have her back.,Sheâ€™s thinking the view is stunning.,Sheâ€™s worried sheâ€™s been stood up by her date.,Heâ€™s thinking the woman is being ridiculous.,She thinks itâ€™s too warm for him to wear a coat.,He misses his younger days.,Sheâ€™s happy to be invited to this fancy dinner.,She suspects heâ€™s not telling her everything.,Sheâ€™s thinking she wants this book.,Sheâ€™s interested in what these strangers are talking about.,Sheâ€™s thinking she doesnâ€™t care about their relationship anymore.,Heâ€™s concerned she's not taking the problem seriously enough. ,Sheâ€™s irritated by the unpleasant smell from the water.,1,Child,Romantic partner,Wallet,Decorative pillow,Skateboard,Bath robe,Laptop,Digital camera,Phone case,3 month gym membership,Camping tent,Record player,Foot massager,Cologne,Helicopter tour,Golf clubs,Bottle of whiskey,Broach,Photo frame set,Ring,Amazon Kindle,Headphones,1,3,3,4,3,3,4,4,3,1,3,2,1,1,3,2,3,1,4,2,1,2,1,3,2,2,4,3,3,1,3,1,1,0,1,1,1,1,0,1,0,0,1,1,1,1,1,1,1,1,0,0,0,0,1,1,0,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,0,1,1,1,1,1,1,0,1,1,3,0.05806451612903226,0.3741935483870968,0.12903225806451613,0.6838709677419355,0.6451612903225806,0.8516129032258064,0.1935483870967742,0.632258064516129,0.3032258064516129,0.22580645161290322,0.36129032258064514,0.08387096774193549,0.7419354838709677,0.3548387096774194,0.5870967741935483,0.4064516129032258,0.2064516129032258,0.3419354838709677,0.41935483870967744,0.07096774193548387,0.38354838709677413,0.25806451612903225,0.17419354838709677,0.4129032258064516,0.1032258064516129,0.5032258064516129,0.38064516129032255,0.12903225806451613,0.05806451612903226,0.3096774193548387,0.2838709677419355,0.2903225806451613,0.18064516129032257,0.3419354838709677,0.38064516129032255,0.3161290322580645,0.16129032258064516,0.4774193548387097,0.45161290322580644,0.41935483870967744,0.38064516129032255,0.3006451612903226
5,38,Yes,Male,Bachelor's degree,51,25,5,1,29,Heâ€™s thinking of asking her on a date.,He wants more coffee.,He thinks his friendâ€™s joke is very funny.,She is remembering how they met.,Heâ€™s worried heâ€™ll forget his lines.,Heâ€™s thinking of ways to win her affection.,She loves gossiping with her colleague.,Sheâ€™s missed her friend and happy to have her back.,Sheâ€™s thinking about the busy day she had.,Sheâ€™s wondering who she should approach and talk to.,Heâ€™s thinking the woman is being ridiculous.,Sheâ€™s thinking he seems better today.,He misses his younger days.,Sheâ€™s happy to be invited to this fancy dinner.,She suspects heâ€™s not telling her everything.,Sheâ€™s thinking itâ€™s a lovely office.,Sheâ€™s happy to be reunited with her school friends.,Sheâ€™s thinking she cannot sympathize with his concerns.,Heâ€™s thinking of ways to convince her that her decision is wrong.,Sheâ€™s upset their deal didnâ€™t go through.,1,Parent,Friend,Beer glass,Decorative pillow,External hard drive,Coffee pot,Comedy tickets,Scuba diving lesson,Scarf and hat set,Spa trip,Camping tent,Concert tickets,Professional photo shoot,Cologne,Go-karting experience,Golf clubs,Bottle of whiskey,Bread maker,Houseplant,Sunglasses,Jewellery box,Watch,1,2,2,3,2,2,3,2,2,2,2,2,2,2,3,3,3,2,2,2,3,2,4,2,4,3,3,2,2,2,3,3,1,0,0,1,0,1,0,0,1,0,1,1,1,1,1,1,0,1,0,0,0,0,1,1,1,1,1,0,1,0,0,0,1,1,1,0,0,1,1,0,1,0,0,1,1,0,1,1,1,1,1,3,0.8580645161290322,0.3741935483870968,0.6516129032258065,0.11612903225806452,0.2129032258064516,0.8516129032258064,0.432258064516129,0.632258064516129,0.43870967741935485,0.7354838709677419,0.36129032258064514,0.432258064516129,0.7419354838709677,0.3548387096774194,0.5870967741935483,0.10967741935483871,0.6645161290322581,0.16129032258064516,0.47096774193548385,0.5548387096774193,0.4870967741935484,0.4645161290322581,0.17419354838709677,0.43870967741935485,0.22580645161290322,0.1870967741935484,0.08387096774193549,0.4129032258064516,0.3419354838709677,0.3096774193548387,0.36129032258064514,0.47096774193548385,0.18064516129032257,0.4838709677419355,0.38064516129032255,0.3161290322580645,0.2903225806451613,0.17419354838709677,0.43870967741935485,0.4064516129032258,0.1935483870967742,0.31677419354838704
6,41,Yes,Male,Bachelor's degree,57,21,13,3,25,Heâ€™s thinking of asking her on a date.,He wants more coffee.,He thinks his friendâ€™s joke is very funny.,She is remembering how they met.,Heâ€™s bored and thinking of how to shorten the meeting,Heâ€™s thinking of ways to win her affection.,She loves gossiping with her colleague.,Sheâ€™s missed her friend and happy to have her back.,Sheâ€™s thinking about the busy day she had.,Sheâ€™s wondering who she should approach and talk to.,Heâ€™s wondering if sheâ€™s also enjoying the dinner.,Sheâ€™s thinking he seems better today.,He misses his younger days.,Sheâ€™s imagining being somewhere else.,She suspects heâ€™s not telling her everything.,Sheâ€™s thinking she wants this book.,Sheâ€™s happy to be reunited with her school friends.,Sheâ€™s thinking sheâ€™s tired of the same excuses heâ€™s giving.,Heâ€™s concerned she's not taking the problem seriously enough. ,Sheâ€™s upset their deal didnâ€™t go through.,1,Friend,Sibling,Beer glass,Decorative pillow,External hard drive,Scented candle,Laptop,Necklace,Box of chocolates,Spa trip,Remote-controlled helicopter,Record player,Professional photo shoot,Swiss army knife,Helicopter tour,Weekend in Ireland,Bottle of whiskey,Sweater,Pasta maker,Sunglasses,Jewellery box,Tennis shoes,1,3,2,4,3,3,3,1,2,1,2,2,1,2,2,3,3,3,3,3,3,2,3,1,3,2,3,3,4,2,4,2,1,0,0,0,0,1,1,0,1,1,0,1,1,1,0,1,0,1,0,1,0,0,1,1,1,1,0,1,1,1,0,0,0,0,1,0,1,0,1,0,0,0,0,1,1,0,0,1,1,1,0,3,0.8580645161290322,0.3741935483870968,0.6516129032258065,0.11612903225806452,0.6451612903225806,0.8516129032258064,0.432258064516129,0.632258064516129,0.43870967741935485,0.7354838709677419,0.4,0.432258064516129,0.7419354838709677,0.33548387096774196,0.5870967741935483,0.4064516129032258,0.6645161290322581,0.45806451612903226,0.41935483870967744,0.5548387096774193,0.5367741935483872,0.4645161290322581,0.17419354838709677,0.43870967741935485,0.5225806451612903,0.5032258064516129,0.2709677419354839,0.36774193548387096,0.3419354838709677,0.2064516129032258,0.2838709677419355,0.47096774193548385,0.4,0.3419354838709677,0.3741935483870968,0.3161290322580645,0.3096774193548387,0.14838709677419354,0.43870967741935485,0.4064516129032258,0.2709677419354839,0.3525806451612903
7,34,Yes,Female,Bachelor's degree,55,35,8,5,22,Heâ€™s thinking of asking her on a date.,Heâ€™s thinking about this morningâ€™s news.,He thinks his friendâ€™s joke is very funny.,Sheâ€™s thinking she loves this restaurant.,He wishes there was some shade.,Heâ€™s thinking of ways to win her affection.,She loves gossiping with her colleague.,She wishes they could afford a real dinner.,Sheâ€™s thinking the view is stunning.,Sheâ€™s wondering who she should approach and talk to.,Heâ€™s wondering if sheâ€™s also enjoying the dinner.,She thinks itâ€™s too warm for him to wear a coat.,He wants to take a break.,Sheâ€™s imagining being somewhere else.,Sheâ€™s wondering if heâ€™ll like the dinner sheâ€™s planning.,She wants to tidy this messy office.,Sheâ€™s happy to be reunited with her school friends.,Sheâ€™s thinking she doesnâ€™t care about their relationship anymore.,Heâ€™s wondering why she called him so late at night.,Sheâ€™s upset their deal didnâ€™t go through.,0,Friend,Romantic partner,Wallet,Perfume,Skateboard,Scented candle,Games console,Hair straighteners,Box of chocolates,Espresso machine,Camping tent,Concert tickets,Professional photo shoot,Swiss army knife,Helicopter tour,Weekend in Ireland,Bottle of whiskey,Bread maker,Houseplant,Ring,Cooking lesson,Tennis shoes,1,2,3,2,2,2,2,3,3,4,3,2,2,3,3,3,4,3,2,3,4,4,4,4,4,4,4,3,2,2,2,2,1,0,1,0,1,1,0,1,0,0,0,1,1,1,0,0,0,1,0,0,0,1,1,1,1,1,0,0,1,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,1,0,1,0,2,0.8580645161290322,0.2129032258064516,0.6516129032258065,0.06451612903225806,0.1032258064516129,0.8516129032258064,0.432258064516129,0.05806451612903226,0.3032258064516129,0.7354838709677419,0.4,0.08387096774193549,0.07096774193548387,0.33548387096774196,0.18064516129032257,0.34838709677419355,0.6645161290322581,0.3419354838709677,0.05161290322580645,0.5548387096774193,0.36516129032258066,0.25806451612903225,0.5935483870967742,0.4129032258064516,0.5225806451612903,0.2645161290322581,0.24516129032258063,0.36774193548387096,0.17419354838709677,0.3096774193548387,0.36129032258064514,0.47096774193548385,0.4,0.3419354838709677,0.3741935483870968,0.3161290322580645,0.2903225806451613,0.17419354838709677,0.45161290322580644,0.10967741935483871,0.2709677419354839,0.3354838709677419
9,24,Yes,Male,High school degree or equivalent (e.g. GED),75,41,6,5,15,Heâ€™s thinking of asking her on a date.,Heâ€™s thinking about this morningâ€™s news.,Heâ€™s surprised to bump into his old friend.,She hopes there is a second date.,Heâ€™s worried heâ€™ll forget his lines.,Heâ€™s thinking of ways to win her affection.,Sheâ€™s thinking of ways to help her friend.,Sheâ€™s missed her friend and happy to have her back.,Sheâ€™s dreaming of a better life far away with her friend.,Sheâ€™s wondering who she should approach and talk to.,Heâ€™s wondering if sheâ€™s also enjoying the dinner.,Sheâ€™s thinking he seems better today.,He misses his younger days.,Sheâ€™s thinking about her future move here to Italy.,Sheâ€™s upset by his unexpected news.,Sheâ€™s thinking she wants this book.,Sheâ€™s happy to be reunited with her school friends.,Sheâ€™s thinking she cannot sympathize with his concerns.,Heâ€™s concerned she's not taking the problem seriously enough. ,She doesnâ€™t want to go back to the office now.,1,Romantic partner,Grandparent,Beer glass,Decorative pillow,External hard drive,Scented candle,Games console,Digital camera,Phone case,3 month gym membership,Camping tent,iPad,Foot massager,Swiss army knife,Helicopter tour,Weekend in Ireland,VR headset,Sweater,Telescope,Digital radio,Amazon Kindle,Headphones,1,4,2,4,4,4,4,4,3,4,4,2,4,3,3,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,1,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,1,0,0,0,1,3,0.8580645161290322,0.2129032258064516,0.12903225806451613,0.6838709677419355,0.2129032258064516,0.8516129032258064,0.25806451612903225,0.632258064516129,0.21935483870967742,0.7354838709677419,0.4,0.432258064516129,0.7419354838709677,0.18064516129032257,0.14838709677419354,0.4064516129032258,0.6645161290322581,0.16129032258064516,0.41935483870967744,0.25161290322580643,0.43,0.4645161290322581,0.17419354838709677,0.43870967741935485,0.5225806451612903,0.2645161290322581,0.38064516129032255,0.12903225806451613,0.05806451612903226,0.3096774193548387,0.2903225806451613,0.2903225806451613,0.4,0.3419354838709677,0.3741935483870968,0.5096774193548387,0.3096774193548387,0.18064516129032257,0.06451612903225806,0.41935483870967744,0.38064516129032255,0.3151612903225806
10,31,Yes,Female,High school degree or equivalent (e.g. GED),57,32,7,1,26,Heâ€™s thinking of asking her on a date.,Heâ€™s imagining a date with the blonde.,He thinks his friendâ€™s joke is very funny.,Sheâ€™s excited theyâ€™re engaged.,Heâ€™s bored and thinking of how to shorten the meeting,Heâ€™s thinking his coffee tastes good.,She hates her friendâ€™s outfit.,Sheâ€™s missed her friend and happy to have her back.,Sheâ€™s thinking the view is stunning.,Sheâ€™s wondering who she should approach and talk to.,Heâ€™s thinking of how this dinner will benefit his business.,Sheâ€™s thinking she loves the woods in spring.,He wants to take a break.,Sheâ€™s thinking about her wonderful date yesterday.,Sheâ€™s upset by his unexpected news.,Sheâ€™s thinking itâ€™s a lovely office.,Sheâ€™s happy to forget her troubles.,Sheâ€™s thinking she cannot sympathize with his concerns.,Heâ€™s concerned she's not taking the problem seriously enough. ,Sheâ€™s upset their deal didnâ€™t go through.,0,Friend,Friend,Wallet,Perfume,Skateboard,Champagne glasses,Comedy tickets,Digital camera,Scarf and hat set,Spa trip,Camping tent,Concert tickets,Foot massager,Tie and cufflinks,Go-karting experience,Weekend in Ireland,VR headset,Candle holders,Houseplant,Digital radio,Amazon Kindle,TV boxset,1,2,2,4,3,3,4,2,3,3,3,4,2,3,3,3,3,2,2,3,3,3,4,2,3,3,4,3,2,3,3,2,1,1,1,0,1,1,1,0,0,1,0,1,1,1,1,0,1,0,0,1,0,0,1,1,1,1,1,0,0,0,1,1,0,1,0,1,0,0,1,1,0,0,0,1,0,1,1,0,0,0,0,2,0.8580645161290322,0.2903225806451613,0.6516129032258065,0.11612903225806452,0.6451612903225806,0.012903225806451613,0.1935483870967742,0.632258064516129,0.3032258064516129,0.7354838709677419,0.14193548387096774,0.36129032258064514,0.07096774193548387,0.10967741935483871,0.14838709677419354,0.10967741935483871,0.0967741935483871,0.16129032258064516,0.41935483870967744,0.5548387096774193,0.3306451612903225,0.25806451612903225,0.5935483870967742,0.4129032258064516,0.12903225806451613,0.1870967741935484,0.38064516129032255,0.4129032258064516,0.3419354838709677,0.3096774193548387,0.36129032258064514,0.2903225806451613,0.05161290322580645,0.4838709677419355,0.3741935483870968,0.5096774193548387,0.21935483870967742,0.17419354838709677,0.06451612903225806,0.41935483870967744,0.13548387096774195,0.30548387096774193
11,30,Yes,Male,High school degree or equivalent (e.g. GED),57,36,8,2,21,Heâ€™s thinking of asking her on a date.,He wants more coffee.,He thinks his friendâ€™s joke is very funny.,She hopes there is a second date.,Heâ€™s bored and thinking of how to shorten the meeting,He thinks sheâ€™s trying too hard and is amused.,She loves conspiring against her colleagues.,Sheâ€™s missed her friend and happy to have her back.,Sheâ€™s dreaming of a better life far away with her friend.,Sheâ€™s wondering who she should approach and talk to.,Heâ€™s thinking the woman is being ridiculous.,Sheâ€™s thinking he seems better today.,He misses his younger days.,Sheâ€™s imagining being somewhere else.,She suspects heâ€™s not telling her everything.,Sheâ€™s thinking she wants this book.,Sheâ€™s interested in what these strangers are talking about.,Sheâ€™s thinking she doesnâ€™t care about their relationship anymore.,Heâ€™s thinking of ways to convince her that her decision is wrong.,Sheâ€™s upset their deal didnâ€™t go through.,1,Friend,Friend,Beer glass,Year-long Netflix subscription,External hard drive,Scented candle,Laptop,Hair straighteners,Box of chocolates,Espresso machine,Camping tent,Record player,Professional photo shoot,Swiss army knife,Helicopter tour,Flight lessons,Bottle of whiskey,Bread maker,Pasta maker,Digital radio,Amazon Kindle,Headphones,1,3,2,3,4,3,3,3,3,3,3,2,3,3,3,3,2,4,3,3,3,3,3,4,3,4,3,2,3,3,3,3,1,1,0,1,1,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,1,0,0,0,0,1,1,0,1,0,0,1,1,0,1,0,1,1,1,3,0.8580645161290322,0.3741935483870968,0.6516129032258065,0.6838709677419355,0.6451612903225806,0.0967741935483871,0.0967741935483871,0.632258064516129,0.21935483870967742,0.7354838709677419,0.36129032258064514,0.432258064516129,0.7419354838709677,0.33548387096774196,0.5870967741935483,0.4064516129032258,0.2064516129032258,0.3419354838709677,0.47096774193548385,0.5548387096774193,0.4716129032258064,0.4645161290322581,0.2064516129032258,0.43870967741935485,0.5225806451612903,0.5032258064516129,0.24516129032258063,0.36774193548387096,0.17419354838709677,0.3096774193548387,0.2838709677419355,0.47096774193548385,0.4,0.3419354838709677,0.13548387096774195,0.3161290322580645,0.2903225806451613,0.14838709677419354,0.06451612903225806,0.41935483870967744,0.38064516129032255,0.3241935483870968
12,42,Yes,Male,High school degree or equivalent (e.g. GED),46,28,7,1,27,He doesn't want to begin studying.,He wants more coffee.,Heâ€™s thinking of how to end this awkward encounter.,She hopes there is a second date.,Heâ€™s bored and thinking of how to shorten the meeting,Heâ€™s thinking of ways to win her affection.,She hates her friendâ€™s outfit.,She wishes she could quit smoking.,Sheâ€™s thinking about the busy day she had.,Sheâ€™s worried sheâ€™s been stood up by her date.,Heâ€™s thinking the woman is being ridiculous.,Sheâ€™s thinking he seems better today.,He misses his younger days.,Sheâ€™s thinking about her wonderful date yesterday.,She suspects heâ€™s not telling her everything.,Sheâ€™s thinking she wants this book.,Sheâ€™s happy to be reunited with her school friends.,Sheâ€™s thinking she doesnâ€™t care about their relationship anymore.,Heâ€™s wondering why she called him so late at night.,Sheâ€™s upset their deal didnâ€™t go through.,1,Friend,Friend,Beer glass,Decorative pillow,Skateboard,Scented candle,Laptop,Digital camera,Box of chocolates,Spa trip,Camping tent,Record player,Professional photo shoot,Swiss army knife,Helicopter tour,Weekend in Ireland,Bottle of whiskey,Broach,Houseplant,Ring,Cooking lesson,Tennis shoes,1,4,2,4,1,1,1,2,3,3,2,1,2,3,4,4,3,2,2,3,3,1,3,2,3,2,2,4,1,2,3,1,1,1,1,1,0,1,0,0,1,0,0,1,1,1,1,1,0,1,0,0,0,1,1,0,0,1,1,0,0,1,0,0,1,0,1,0,0,0,1,1,1,0,0,1,1,0,1,1,0,1,1,3,0.06451612903225806,0.3741935483870968,0.03870967741935484,0.6838709677419355,0.6451612903225806,0.8516129032258064,0.1935483870967742,0.05806451612903226,0.43870967741935485,0.22580645161290322,0.36129032258064514,0.432258064516129,0.7419354838709677,0.10967741935483871,0.5870967741935483,0.4064516129032258,0.6645161290322581,0.3419354838709677,0.05161290322580645,0.5548387096774193,0.3912903225806451,0.4645161290322581,0.17419354838709677,0.4129032258064516,0.5225806451612903,0.5032258064516129,0.38064516129032255,0.36774193548387096,0.3419354838709677,0.3096774193548387,0.2838709677419355,0.47096774193548385,0.4,0.3419354838709677,0.3741935483870968,0.3161290322580645,0.16129032258064516,0.17419354838709677,0.45161290322580644,0.10967741935483871,0.2709677419354839,0.34161290322580634
